       5.440000       1.145871       1.383336       2.064267
       5.450000       1.181197       1.388684       2.066144
       5.460000       1.219943       1.396981       2.068231
       5.470000       1.261055       1.406337       2.070563
       5.480000       1.303282       1.414534       2.073185
       5.490000       1.345238       1.419409       2.076142
       5.500000       1.385425       1.419242       2.079467
       5.510000       1.422251       1.413085       2.083161
       5.520000       1.454051       1.400962       2.087182
       5.530000       1.479139       1.383895       2.091438
       5.540000       1.495886       1.363711       2.095797
       5.550000       1.502820       1.342662       2.100097
       5.560000       1.498757       1.322962       2.104163
       5.570000       1.482934       1.306341       2.107826
       5.580000       1.455133       1.293772       2.110939
       5.590000       1.415791       1.285409       2.113391
       5.600000       1.366095       1.280754       2.115116
       5.610000       1.308052       1.278963       2.116100
       5.620000       1.244481       1.279201       2.116384
       5.630000       1.178846       1.280895       2.116058
       5.640000       1.114868       1.283796       2.115253
       5.650000       1.055967       1.287837       2.114126
       5.660000       1.004700       1.292879       2.112850
       5.670000       0.962411       1.298501       2.111588
       5.680000       0.929185       1.303974       2.110486
       5.690000       0.904102       1.308464       2.109653
       5.700000       0.885646       1.311375       2.109158
       5.710000       0.872122       1.312702       2.109025
       5.720000       0.861975       1.313219       2.109241
       5.730000       0.854007       1.314408       2.109770
       5.740000       0.847482       1.318134       2.110569
       5.750000       0.842118       1.326200       2.111599
       5.760000       0.837978       1.339928       2.112839
       5.770000       0.835251       1.359903       2.114285
       5.780000       0.834013       1.385914       2.115952
       5.790000       0.834085       1.417034       2.117863
       5.800000       0.835030       1.451792       2.120051
       5.810000       0.836299       1.488366       2.122539
       5.820000       0.837415       1.524778       2.125336
       5.830000       0.838101       1.559076       2.128424
       5.840000       0.838317       1.589500       2.131766
       5.850000       0.838215       1.614647       2.135316
       5.860000       0.838075       1.633620       2.139039
       5.870000       0.838263       1.646131       2.142924
       5.880000       0.839203       1.652555       2.146990
       5.890000       0.841377       1.653913       2.151276
       5.900000       0.845352       1.651781       2.155826
       5.910000       0.851801       1.648107       2.160672
       5.920000       0.861495       1.644924       2.165822
       5.930000       0.875215       1.643983       2.171261
       5.940000       0.893599       1.646400       2.176954
       5.950000       0.916993       1.652429       2.182850
       5.960000       0.945366       1.661415       2.188884
       5.970000       0.978306       1.671950       2.194972
       5.980000       1.015104       1.682145       2.201010
       5.990000       1.054855       1.689963       2.206871
       6.000000       1.096560       1.693562       2.212409
       6.010000       1.139199       1.691610       2.217473
       6.020000       1.181783       1.683528       2.221925
       6.030000       1.223363       1.669600       2.225664
       6.040000       1.263029       1.650878       2.228650
       6.050000       1.299887       1.628889       2.230909
       6.060000       1.333040       1.605220       2.232544
       6.070000       1.361590       1.581144       2.233715
       6.080000       1.384652       1.557410       2.234624
       6.090000       1.401395       1.534253       2.235490
       6.100000       1.411095       1.511555       2.236516
       6.110000       1.413196       1.489102       2.237872
       6.120000       1.407380       1.466820       2.239667
       6.130000       1.393613       1.444933       2.241944
       6.140000       1.372158       1.423989       2.244677
       6.150000       1.343522       1.404764       2.247775
       6.160000       1.308383       1.388077       2.251104
       6.170000       1.267507       1.374611       2.254504
       6.180000       1.221690       1.364783       2.257800
       6.190000       1.171759       1.358703       2.260824
       6.200000       1.118617       1.356220       2.263425
       6.210000       1.063352       1.357042       2.265483
       6.220000       1.007334       1.360883       2.266926
       6.230000       0.952247       1.367567       2.267739
       6.240000       0.899986       1.377035       2.267968
       6.250000       0.852426       1.389217       2.267714
       6.260000       0.811131       1.403834       2.267122
       6.270000       0.777108       1.420212       2.266370
       6.280000       0.750709       1.437198       2.265655
       6.290000       0.731686       1.453227       2.265181
       6.300000       0.719368       1.466542       2.265143
       6.310000       0.712858       1.475519       2.265707
       6.320000       0.711192       1.479041       2.266996
       6.330000       0.713449       1.476809       2.269065
       6.340000       0.718825       1.469500       2.271904
       6.350000       0.726697       1.458675       2.275436
       6.360000       0.736686       1.446453       2.279538
       6.370000       0.748677       1.435079       2.284053
       6.380000       0.762806       1.426510       2.288807
       6.390000       0.779367       1.422153       2.293619
       6.400000       0.798678       1.422742       2.298322
       6.410000       0.820916       1.428323       2.302763
       6.420000       0.845983       1.438296       2.306822
       6.430000       0.873443       1.451506       2.310409
       6.440000       0.902539       1.466398       2.313472
